zip_code,vehicles,lat,lon
92402,17.0,55.76569,21.33434
92404,26546.0,55.7904,21.19859
92405,9964.0,55.79027000000001,21.19143
92407,33300.0,55.76376,21.23994
92408,4440.0,34.07817,-117.2739
92410,21169.0,34.10688,-117.29896
92411,9681.0,34.12232,-117.31836
92415,2856.0,34.1026,-117.27962
92501,6175.0,48.16843,17.73248
92503,54491.0,48.12194,17.75139
92504,31957.0,48.0825,17.69231
92505,23697.0,48.10457,17.68756
92506,22371.0,48.12659,17.65012
92507,26230.0,48.13683999999999,17.67401
92508,15877.0,48.15136,17.65882
92509,51201.0,48.17249,17.65781
92518,497.0,33.89572,-117.27487
92522,28.0,48.16392,17.57334
92530,31090.0,33.6683,-117.36057
92532,10674.0,48.24238,17.6895
92539,58.0,33.53511,-116.66567
92543,13444.0,33.73699,-116.9747
92544,21800.0,33.69907,-116.91696
92545,19031.0,48.24842,17.61775
92548,818.0,33.75087,-117.11378
92549,357.0,33.75122,-116.72338
92551,13176.0,48.28287,17.75753
92553,37813.0,48.27723000000001,17.82279
92555,21592.0,48.31743,17.76099
92557,25607.0,33.95769,-117.24894
92561,11.0,33.62021,-116.54554
92562,35957.0,48.24964000000001,17.78301
92563,40620.0,48.26879,17.750930000000004
92567,2180.0,33.80376,-117.12224
92570,33241.0,33.79353,-117.29009999999998
92571,30378.0,48.14833,17.93055
92572,57.0,48.09382,17.96367
92581,16.0,48.13451,17.84287
92582,6945.0,48.10475,17.84845
92583,11396.0,48.0721,17.88469
92584,33434.0,48.03289,17.94885
92585,10968.0,48.02016,17.96565
92586,7939.0,33.70692,-117.19776
92587,5083.0,33.68393,-117.25758000000002
92590,606.0,33.49018,-117.2065
92591,20002.0,48.16775,17.84408
92592,46160.0,48.18549,17.78638
92595,15597.0,33.6145,-117.26117
92596,15158.0,-17.7761,177.43331
92600,28.0,48.28656,17.73635
92602,14056.0,33.73073,-117.77223
92603,7474.0,33.63791,-117.8048
92604,10630.0,33.68866,-117.78799
92606,8801.0,33.6989,-117.80516
92610,3530.0,33.68509,-117.66201
92612,10858.0,33.66062,-117.82233
92613,21.0,-5.11376,120.24114
92614,13826.0,33.67854,-117.82337
92617,934.0,33.64015,-117.83881
92618,38946.0,33.66776,-117.743
92619,12.0,33.66807,-117.76586
92620,32450.0,33.71132,-117.76267
92624,629.0,33.45986,-117.66456
92625,3984.0,33.60186,-117.87127
92626,26123.0,33.67865,-117.91184
92627,30553.0,55.60618999999999,21.45504
92629,11281.0,33.47776,-117.70356
92630,40996.0,33.64375,-117.68796
92637,6145.0,33.60862,-117.72746
92646,31349.0,33.66817,-117.96832
92647,31041.0,33.72248,-118.00691
92648,24106.0,33.67929,-118.00433000000001
92649,16503.0,33.72041,-118.04384000000002
92651,10615.0,33.53638,-117.77078
92653,12675.0,33.59306,-117.69952
92655,1740.0,33.74477,-117.9846
92656,27293.0,33.58167,-117.73103
92657,4336.0,33.59502,-117.82936
92658,26.0,33.62208,-117.9142
92660,22600.0,33.63212,-117.87622
92661,90.0,33.60251,-117.8994
92662,62.0,33.60637,-117.89246
92663,6551.0,33.6206,-117.92551999999999
92667,11.0,33.5255,-117.71821
92672,16235.0,33.42763,-117.61173
92673,13620.0,33.46531,-117.61976
92675,17637.0,33.50426,-117.65850999999999
92677,39400.0,33.52857,-117.70337
92679,15733.0,33.64761,-117.59685
92683,55790.0,33.75179,-117.99380000000001
92688,23617.0,33.63418,-117.60636
92691,25983.0,33.61332,-117.66465
92692,26225.0,33.61163,-117.64234
92694,17311.0,33.55256,-117.64005
92697,32.0,33.6556,-117.85483
92701,20550.0,48.15119,17.87415
92703,31268.0,48.18713,17.92893
92704,45777.0,-17.56162,-149.59502
92705,25417.0,48.16585,17.89123
92706,13128.0,33.76241,-117.88154
92707,28782.0,33.71916,-117.8737
92708,35139.0,33.70988,-117.95266
92780,26766.0,33.73756,-117.81854
92782,12777.0,33.73852,-117.78756
92801,31442.0,33.84413,-117.95227000000001
92802,16724.0,33.80761,-117.92531
92804,44625.0,33.8198,-117.97622
92805,45533.0,33.83341,-117.90708
92806,22139.0,33.83837,-117.87458
92807,20612.0,33.84983,-117.79033
92808,7701.0,33.85699,-117.74251
92815,13.0,33.83276,-117.91556
92821,21650.0,33.92483,-117.89299
92823,467.0,33.91872,-117.83982
92831,12163.0,33.88033,-117.8951
92832,7683.0,33.86788,-117.92979999999999
92833,26335.0,33.877,-117.96151999999998
92835,9309.0,33.90164,-117.91160000000002
92840,28417.0,33.78581,-117.93239
92841,16075.0,33.78756,-117.97563
92843,22748.0,33.76401,-117.93246
92844,9842.0,33.76841,-117.97100000000002
92845,4818.0,22.46347,120.445
92860,10066.0,33.92459,-117.5528
92861,499.0,33.81793,-117.81012
92863,289.0,33.8057,-117.83543000000002
92865,8208.0,33.82729,-117.8481
92866,3069.0,33.78699,-117.8436
92867,22033.0,33.81339,-117.82587
92868,12081.0,33.78941,-117.87043
92869,16780.0,33.79216,-117.79956999999999
92870,27027.0,33.88219,-117.85650999999999
92878,6548.0,33.88123,-117.57527
92879,23939.0,33.88932,-117.54657
92880,32139.0,33.95966,-117.58418
92881,13676.0,33.83773,-117.54651
92882,38947.0,33.86274,-117.5946
92883,17842.0,33.77185,-117.48380999999999
92886,28383.0,33.89034,-117.80422
92887,8241.0,33.88156,-117.74135000000001
93001,13040.0,48.01079,17.57757
93002,13.0,48.01772,17.5354
93003,26908.0,47.97121,17.57219
93004,13602.0,47.90575,17.52521
93007,12.0,47.80002,17.66252
93010,22343.0,47.93471,17.71168
93011,14.0,47.96737,17.78624
93012,18073.0,47.99194,17.70026
93013,4420.0,47.98991,17.75056
